Team,Position,Name,Minutes played,Games played,Yellow Cards,Red Cards,Goals scored,Penalties scored,Own goals,Tackles,Shots,Assists,Passes,Goals_per_Game,Cards_per_Game,Pass_Accuracy_Estimate,Set
RCD Espanyol,Midfielder,Carlos Doncel,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Test
RCD Espanyol,Midfielder,Víctor Campuzano,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Train
RCD Espanyol,Forward,Borja Iglesias,3.0810000000000004,37,5,0,17,3,0,6,72,3,674.0,0.4594594594594595,0.13513513513513514,0.004451038575667656,Train
RCD Espanyol,Forward,S. García,1.487,29,3,0,2,0,0,1,28,1,439.0,0.06896551724137931,0.10344827586206896,0.002277904328018223,Train
RCD Espanyol,Forward,Hernán Pérez,797.0,19,1,0,1,0,0,3,11,2,222.0,0.05263157894736842,0.05263157894736842,0.009009009009009009,Train
RCD Espanyol,Forward,Piatti,734.0,20,0,0,1,0,0,0,11,0,233.0,0.05,0.0,0.0,Train
RCD Espanyol,Forward,Puado,348.0,15,0,0,0,0,0,1,7,0,89.0,0.0,0.0,0.0,Train
RCD Espanyol,Forward,Wu Lei,1.064,16,1,0,3,0,0,0,28,1,198.0,0.1875,0.0625,0.005050505050505051,Test
Real Betis,Goalkeeper,Joel Robles,450.0,5,0,0,0,0,0,0,0,0,163.0,0.0,0.0,0.0,Train
Real Betis,Goalkeeper,Pau López,2.97,33,3,0,0,0,0,0,0,0,1.071,0.0,0.09090909090909091,0.0,Train
Real Betis,Defender,Emerson,317.0,6,1,0,0,0,0,0,1,0,146.0,0.0,0.16666666666666666,0.0,Train
Real Betis,Defender,Francis G.,1.79,22,1,0,0,0,0,1,6,1,783.0,0.0,0.045454545454545456,0.001277139208173691,Train
Real Betis,Defender,Feddal,1.7009999999999998,21,7,0,1,0,0,8,14,1,1.272,0.047619047619047616,0.3333333333333333,0.7861635220125786,Test
Real Betis,Defender,Bartra,2.93,33,4,0,1,0,0,21,6,0,2.266,0.030303030303030304,0.12121212121212122,0.0,Train
Real Betis,Defender,Sidnei,1.743,24,4,0,1,0,0,8,7,0,1.243,0.041666666666666664,0.16666666666666666,0.0,Train
Real Betis,Defender,A. Barragán,936.0,14,4,0,0,0,0,4,1,0,523.0,0.0,0.2857142857142857,0.0,Train
Real Betis,Defender,Júnior,1.937,24,7,0,3,0,0,2,15,4,934.0,0.125,0.2916666666666667,0.004282655246252677,Train
Real Betis,Defender,Mandi,3.06,35,10,0,1,0,0,23,6,1,2.577,0.02857142857142857,0.2857142857142857,0.38804811796662786,Train
